ID,RANK,TITULO,TITULO COMPLETO,ANO DE LANÇAMENTO,DIRETOR,ELENCO,NOTA DO PUBLICO,NUMERO DE VOTOS,MEDIA DE VOTOS
111161,1,The Shawshank Redemption,The Shawshank Redemption (1994),1994,Frank Darabont ," Tim Robbins, Morgan Freeman",9.2,2307154,1.7237905062048506
68646,2,The Godfather,The Godfather (1972),1972,Francis Ford Coppola ," Marlon Brando, Al Pacino",9.1,1592287,1.189677504732412
71562,3,The Godfather: Part II,The Godfather: Part II (1974),1974,Francis Ford Coppola ," Al Pacino, Robert De Niro",9.0,1112398,0.8311283562004371
468569,4,The Dark Knight,The Dark Knight (2008),2008,Christopher Nolan ," Christian Bale, Heath Ledger",9.0,2270227,1.696200491831026
50083,5,12 Angry Men,12 Angry Men (1957),1957,Sidney Lumet ," Henry Fonda, Lee J. Cobb",8.9,678219,0.5067314419963936
108052,6,Schindler's List,Schindler's List (1993),1993,Steven Spielberg ," Liam Neeson, Ralph Fiennes",8.9,1196884,0.8942520855688378
167260,7,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King (2003),2003,Peter Jackson ," Elijah Wood, Viggo Mortensen",8.9,1620525,1.2107755312682271
110912,8,Pulp Fiction,Pulp Fiction (1994),1994,Quentin Tarantino ," John Travolta, Uma Thurman",8.8,1800619,1.3453327942096938
60196,9,"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly (1966)",1966,Sergio Leone ," Clint Eastwood, Eli Wallach",8.8,679731,0.5078611330553268
120737,10,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring (2001),2001,Peter Jackson ," Elijah Wood, Ian McKellen",8.8,1636400,1.2226365402368535
137523,11,Fight Club,Fight Club (1999),1999,David Fincher ," Brad Pitt, Edward Norton",8.8,1828093,1.3658599980146726
109830,12,Forrest Gump,Forrest Gump (1994),1994,Robert Zemeckis ," Tom Hanks, Robin Wright",8.8,1778150,1.3285450770118314
1375666,13,Inception,Inception (2010),2010,Christopher Nolan ," Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,2032277,1.518416108581601
167261,14,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers (2002),2002,Peter Jackson ," Elijah Wood, Ian McKellen",8.7,1464851,1.0944636755087356
80684,15,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back (1980),1980,Irvin Kershner ," Mark Hamill, Harrison Ford",8.7,1143401,0.8542922529597645
133093,16,The Matrix,The Matrix (1999),1999,Lana Wachowski ," Keanu Reeves, Laurence Fishburne",8.6,1651139,1.2336487866109374
99685,17,Goodfellas,Goodfellas (1990),1990,Martin Scorsese ," Robert De Niro, Ray Liotta",8.6,1004305,0.7503666527392894
73486,18,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest (1975),1975,Milos Forman ," Jack Nicholson, Louise Fletcher",8.6,905721,0.6767096002565773
47478,19,Seven Samurai,Seven Samurai (1954),1954,Akira Kurosawa ," Toshirô Mifune, Takashi Shimura",8.6,311712,0.2328956741813188
114369,20,Se7en,Se7en (1995),1995,David Fincher ," Morgan Freeman, Brad Pitt",8.6,1421314,1.0619349985029352
118799,21,Life Is Beautiful,Life Is Beautiful (1997),1997,Roberto Benigni ," Roberto Benigni, Nicoletta Braschi",8.6,613693,0.4585208300461839
317248,22,City of God,City of God (2002),2002,Fernando Meirelles ," Alexandre Rodrigues, Leandro Firmino",8.6,691875,0.5169345247350116
102926,23,The Silence of the Lambs,The Silence of the Lambs (1991),1991,Jonathan Demme ," Jodie Foster, Anthony Hopkins",8.6,1251270,0.9348865947825518
38650,24,It's a Wonderful Life,It's a Wonderful Life (1946),1946,Frank Capra ," James Stewart, Donna Reed",8.6,392306,0.29311149508320644
76759,25,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope (1977),1977,George Lucas ," Mark Hamill, Harrison Ford",8.6,1215195,0.9079331523546341
120815,26,Saving Private Ryan,Saving Private Ryan (1998),1998,Steven Spielberg ," Tom Hanks, Matt Damon",8.5,1217946,0.9099885624757484
245429,27,Spirited Away,Spirited Away (2001),2001,Hayao Miyazaki ," Daveigh Chase, Suzanne Pleshette",8.5,637732,0.4764815730129119
120689,28,The Green Mile,The Green Mile (1999),1999,Frank Darabont ," Tom Hanks, Michael Clarke Duncan",8.5,1128104,0.8428630967901218
816692,29,Interstellar,Interstellar (2014),2014,Christopher Nolan ," Matthew McConaughey, Anne Hathaway",8.5,1477912,1.1042222038954588
6751668,30,Parasite,Parasite (2019),2019,Bong Joon Ho ," Kang-ho Song, Sun-kyun Lee",8.5,507789,0.3793946383099069
110413,31,Léon: The Professional,Léon: The Professional (1994),1994,Luc Besson ," Jean Reno, Gary Oldman",8.5,1020016,0.7621051290798303
114814,32,The Usual Suspects,The Usual Suspects (1995),1995,Bryan Singer ," Kevin Spacey, Gabriel Byrne",8.5,979014,0.7314704777581538
56058,33,Harakiri,Harakiri (1962),1962,Masaki Kobayashi ," Tatsuya Nakadai, Akira Ishihama",8.5,39632,0.029611055587061216
110357,34,The Lion King,The Lion King (1994),1994,Roger Allers ," Matthew Broderick, Jeremy Irons",8.5,928093,0.6934248438878282
88763,35,Back to the Future,Back to the Future (1985),1985,Robert Zemeckis ," Michael J. Fox, Christopher Lloyd",8.5,1041337,0.7780351178810953
253474,36,The Pianist,The Pianist (2002),2002,Roman Polanski ," Adrien Brody, Thomas Kretschmann",8.5,717546,0.536114616781223
103064,37,Terminator 2: Judgment Day,Terminator 2: Judgment Day (1991),1991,James Cameron ," Arnold Schwarzenegger, Linda Hamilton",8.5,984338,0.7354483052698997
120586,38,American History X,American History X (1998),1998,Tony Kaye ," Edward Norton, Edward Furlong",8.5,1023468,0.7646842914709924
27977,39,Modern Times,Modern Times (1936),1936,Charles Chaplin ," Charles Chaplin, Paulette Goddard",8.5,214328,0.1601352019041092
54215,40,Psycho,Psycho (1960),1960,Alfred Hitchcock ," Anthony Perkins, Janet Leigh",8.5,595946,0.44526115595697374
172495,41,Gladiator,Gladiator (2000),2000,Ridley Scott ," Russell Crowe, Joaquin Phoenix",8.5,1322529,0.9881277688358016
21749,42,City Lights,City Lights (1931),1931,Charles Chaplin ," Charles Chaplin, Virginia Cherrill",8.5,165172,0.12340828808604348
407887,43,The Departed,The Departed (2006),2006,Martin Scorsese ," Leonardo DiCaprio, Matt Damon",8.5,1172628,0.876129211014948
1675434,44,The Intouchables,The Intouchables (2011),2011,Olivier Nakache ," François Cluzet, Omar Sy",8.5,746115,0.5574599500237228
2582802,45,Whiplash,Whiplash (2014),2014,Damien Chazelle ," Miles Teller, J.K. Simmons",8.5,702144,0.5246070098435989
482571,46,The Prestige,The Prestige (2006),2006,Christopher Nolan ," Christian Bale, Hugh Jackman",8.5,1170622,0.8746304277714164
95327,47,Grave of the Fireflies,Grave of the Fireflies (1988),1988,Isao Takahata ," Tsutomu Tatsumi, Ayano Shiraishi",8.5,230105,0.1719229901559528
8503618,48,Hamilton,Hamilton (2020),2020,Thomas Kail ," Lin-Manuel Miranda, Phillipa Soo",8.5,46684,0.03487995859473067
64116,49,Once Upon a Time in the West,Once Upon a Time in the West (1968),1968,Sergio Leone ," Henry Fonda, Charles Bronson",8.4,298966,0.22337249809854018
34583,50,Casablanca,Casablanca (1942),1942,Michael Curtiz ," Humphrey Bogart, Ingrid Bergman",8.4,515430,0.38510361276844374
95765,51,Cinema Paradiso,Cinema Paradiso (1988),1988,Giuseppe Tornatore ," Philippe Noiret, Enzo Cannavale",8.4,226543,0.16926164124595303
47396,52,Rear Window,Rear Window (1954),1954,Alfred Hitchcock ," James Stewart, Grace Kelly",8.4,437935,0.32720321024726623
78748,53,Alien,Alien (1979),1979,Ridley Scott ," Sigourney Weaver, Tom Skerritt",8.4,778004,0.5812858218347794
78788,54,Apocalypse Now,Apocalypse Now (1979),1979,Francis Ford Coppola ," Martin Sheen, Marlon Brando",8.4,598310,0.4470274189618136
209144,55,Memento,Memento (2000),2000,Christopher Nolan ," Guy Pearce, Carrie-Anne Moss",8.4,1111319,0.830322181165656
32553,56,The Great Dictator,The Great Dictator (1940),1940,Charles Chaplin ," Charles Chaplin, Paulette Goddard",8.4,200162,0.1495510725781527
82971,57,Raiders of the Lost Ark,Raiders of the Lost Ark (1981),1981,Steven Spielberg ," Harrison Ford, Karen Allen",8.4,873833,0.652884475595692
1853728,58,Django Unchained,Django Unchained (2012),2012,Quentin Tarantino ," Jamie Foxx, Christoph Waltz",8.4,1335272,0.9976487034680663
405094,59,The Lives of Others,The Lives of Others (2006),2006,Florian Henckel von Donnersmarck ," Ulrich Mühe, Martina Gedeck",8.4,353819,0.26435592644222883
7286456,60,Joker,Joker (2019),2019,Todd Phillips ," Joaquin Phoenix, Robert De Niro",8.4,895882,0.6693583897216284
50825,61,Paths of Glory,Paths of Glory (1957),1957,Stanley Kubrick ," Kirk Douglas, Ralph Meeker",8.4,175373,0.13102996698298566
